Record_ID,Date,Time,Frequency,Pin,Diameter corr.
18,15.07.2024,14:52:30,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0073,,0
2,0.0175,,0
3,0.0784,,0
4,0.1061,,0
5,0.1643,,0
6,0.2070,,0
7,0.2964,,0
8,0.3560,,0
9,0.3428,,0
10,0.1952,,0
11,0.1197,,0
12,0.0845,,0
13,0.0604,,0
14,0.0843,,0
15,0.1314,,0
16,0.1786,,0
17,0.1461,,0
18,0.1370,,0
19,0.1811,,0
20,0.1808,,0
21,0.1357,,0
22,0.0472,,0
23,0.0243,,0
24,0.0332,,0
25,0.0695,,0
26,0.1178,,0
27,0.0831,,0
28,0.0352,,0
29,0.0665,,0
30,0.0034,,0
31,0.0000,,0
32,0.0000,,0
33,0.0000,,0
34,0.0000,,0
35,0.0000,,0
36,0.0000,,0
37,0.0000,,0
38,0.0075,,0
39,0.0516,,0
40,0.0486,,0
41,0.0399,,0
42,0.0320,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.356007,0.0921495,
Sigma[S/m],0,7.39227e+31,nan,
