Record_ID,Date,Time,Frequency,Pin,Diameter corr.
48,18.07.2024,10:10:25,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0978,,0
2,0.1297,,0
3,0.1830,,0
4,0.0853,,0
5,0.0692,,0
6,0.0957,,0
7,0.1223,,0
8,0.1742,,0
9,0.1437,,0
10,0.0930,,0
11,0.1437,,0
12,0.2274,,0
13,0.1205,,0
14,0.1150,,0
15,0.3185,,0
16,0.4272,,0
17,0.4143,,0
18,0.2118,,0
19,0.1885,,0
20,0.1840,,0
21,0.3682,,0
22,0.5807,,0
23,0.6487,,0
24,0.4726,,0
25,0.4988,,0
26,0.4428,,0
27,0.2927,,0
28,0.1145,,0
29,0.0658,,0
30,0.0580,,0
31,0.0731,,0
32,0.0697,,0
33,0.1245,,0
34,0.1635,,0
35,0.2227,,0
36,0.2924,,0
37,0.2190,,0
38,0.1161,,0
39,0.0914,,0
40,0.0791,,0
41,0.0173,,0
42,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.648693,0.203726,
Sigma[Ohm.m],0,7.39227e+31,nan,
