Record_ID,Date,Time,Frequency,Pin,Diameter corr.
52,18.07.2024,14:48:14,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.5103,,0
2,0.5673,,0
3,0.8355,,0
4,0.6126,,0
5,0.3273,,0
6,0.2143,,0
7,0.1823,,0
8,0.2438,,0
9,0.3224,,0
10,0.5966,,0
11,1.2077,,0
12,2.2826,,0
13,1.9715,,0
14,1.2508,,0
15,0.9794,,0
16,0.5483,,0
17,0.3077,,0
18,0.3704,,0
19,0.3924,,0
20,0.3638,,0
21,0.3276,,0
22,0.5022,,0
23,0.7492,,0
24,0.7226,,0
25,0.5138,,0
26,0.3077,,0
27,0.2736,,0
28,0.2490,,0
29,0.3117,,0
30,0.5735,,0
31,0.8780,,0
32,1.4206,,0
33,1.6900,,0
34,1.6689,,0
35,0.8873,,0
36,1.9144,,0
37,3.3085,,0
38,3.0981,,0
39,2.1403,,0
40,2.2022,,0
41,2.3384,,0
42,2.9346,,0
43,2.3639,,0
44,0.6058,,0
45,0.1082,,0
46,0.0414,,0
47,0.0140,,0
48,0.0000,,0
49,0.0150,,0
50,0.0271,,0
51,0.1135,,0
52,0.1979,,0
53,0.2409,,0
54,0.1647,,0
55,0.1188,,0
56,0.0692,,0
57,0.0000,,0
58,0.0000,,0
59,0.0000,,0
60,0.0000,,0
61,0.0000,,0
62,0.0377,,0
63,0.0832,,0
64,0.0087,,0
65,0.0000,,0
66,0.0000,,0
67,0.0202,,0
68,0.0578,,0
69,0.0000,,0
70,0.0000,,0
71,0.0000,,0
72,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,3.30849,0.658157,
Sigma[Ohm.m],0,7.39227e+31,nan,
