Record_ID,Date,Time,Frequency,Pin,Diameter corr.
22,16.07.2024,10:01:9,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.1703,,0
2,0.2653,,0
3,0.1623,,0
4,0.1173,,0
5,0.1007,,0
6,0.1069,,0
7,0.1378,,0
8,0.1089,,0
9,0.0711,,0
10,0.0668,,0
11,0.0913,,0
12,0.1054,,0
13,0.1298,,0
14,0.1597,,0
15,0.1494,,0
16,0.1661,,0
17,0.3037,,0
18,0.3447,,0
19,0.2979,,0
20,0.1919,,0
21,0.1206,,0
22,0.1193,,0
23,0.1713,,0
24,0.1977,,0
25,0.2363,,0
26,0.3267,,0
27,0.5337,,0
28,1.0611,,0
29,1.7624,,0
30,1.5139,,0
31,0.5751,,0
32,0.3698,,0
33,0.3335,,0
34,0.1704,,0
35,0.1023,,0
36,0.0675,,0
37,0.0187,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0000,,0
45,0.0000,,0
46,0.0000,,0
47,0.0000,,0
48,0.0000,,0
49,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,1.76242,0.223014,
Sigma[Ohm.m],0,7.39227e+31,nan,
