Record_ID,Date,Time,Frequency,Pin,Diameter corr.
36,16.07.2024,14:04:33,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0242,,0
2,0.0462,,0
3,0.1350,,0
4,0.3122,,0
5,0.4329,,0
6,0.5619,,0
7,0.4877,,0
8,0.4187,,0
9,0.3462,,0
10,0.2535,,0
11,0.2043,,0
12,0.1781,,0
13,0.0901,,0
14,0.0783,,0
15,0.1447,,0
16,0.2522,,0
17,0.1397,,0
18,0.0566,,0
19,0.0512,,0
20,0.0492,,0
21,0.0587,,0
22,0.0564,,0
23,0.0348,,0
24,0.0291,,0
25,0.0341,,0
26,0.0903,,0
27,0.1672,,0
28,0.2456,,0
29,0.2408,,0
30,0.1376,,0
31,0.0884,,0
32,0.0429,,0

,Min,Max,Avg
Kappa[10-3SI],0.0241718,0.561876,0.171519,
Sigma[Ohm.m],0,7.39227e+31,nan,
