Record_ID,Date,Time,Frequency,Pin,Diameter corr.
58,19.07.2024,14:12:11,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0765,,0
2,0.1460,,0
3,0.1499,,0
4,0.1651,,0
5,0.2409,,0
6,0.2646,,0
7,0.2641,,0
8,0.2445,,0
9,0.3288,,0
10,0.3081,,0
11,0.2090,,0
12,0.1729,,0
13,0.3405,,0
14,0.4080,,0
15,0.3282,,0
16,0.2189,,0
17,0.1737,,0
18,0.2275,,0
19,0.3399,,0
20,0.2669,,0
21,0.3513,,0
22,0.6644,,0
23,0.5071,,0
24,0.2938,,0
25,0.2073,,0
26,0.2806,,0
27,0.5008,,0
28,0.5168,,0
29,0.5053,,0
30,0.5218,,0
31,0.7129,,0
32,0.8874,,0
33,0.7131,,0
34,0.5900,,0
35,0.8112,,0
36,0.9391,,0
37,0.5033,,0
38,0.5288,,0
39,0.7950,,0
40,0.5849,,0
41,0.4492,,0
42,0.4152,,0
43,0.4715,,0
44,0.4978,,0
45,0.5122,,0
46,0.4604,,0
47,0.3703,,0
48,0.2800,,0
49,0.2105,,0

,Min,Max,Avg
Kappa[10-3SI],0.0765311,0.939118,0.407258,
Sigma[Ohm.m],0,7.39227e+31,nan,
