,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_3_hsgp_coeffs[44],0.114,0.861,-1.514,1.785,0.012,0.026,5561.0,1316.0,1.0
I_3_hsgp_coeffs[45],-0.2,0.923,-2.003,1.422,0.015,0.023,3845.0,1400.0,1.0
I_3_hsgp_coeffs[46],-0.087,0.885,-1.629,1.7,0.014,0.025,4030.0,1345.0,1.0
I_3_hsgp_coeffs[47],0.776,0.846,-0.845,2.316,0.013,0.022,4295.0,1292.0,1.0
I_3_hsgp_coeffs[48],0.156,0.734,-1.199,1.538,0.012,0.018,3570.0,1586.0,1.0
I_3_hsgp_coeffs[49],-1.726,0.686,-2.962,-0.402,0.011,0.017,3694.0,1646.0,1.0
I_4_hsgp_coeffs[0],0.211,0.937,-1.652,1.839,0.015,0.023,3773.0,1329.0,1.0
I_4_hsgp_coeffs[1],-0.181,0.896,-1.806,1.515,0.013,0.022,4908.0,1579.0,1.0
I_4_hsgp_coeffs[2],-0.109,0.961,-2.048,1.563,0.016,0.024,3789.0,1375.0,1.0
I_4_hsgp_coeffs[3],0.381,0.825,-1.154,1.915,0.013,0.02,4380.0,1442.0,1.0
I_4_hsgp_coeffs[4],0.069,0.908,-1.735,1.652,0.013,0.027,4947.0,1348.0,1.0
I_4_hsgp_coeffs[5],-0.568,0.824,-2.12,0.962,0.012,0.021,4554.0,1337.0,1.0
I_4_hsgp_coeffs[6],-0.132,0.883,-1.805,1.486,0.014,0.022,4264.0,1528.0,1.0
I_4_hsgp_coeffs[7],0.672,0.864,-0.89,2.375,0.012,0.023,4819.0,1331.0,1.0
I_4_hsgp_coeffs[8],0.423,0.841,-1.133,2.017,0.013,0.021,4545.0,1517.0,1.0
I_4_hsgp_coeffs[9],-0.593,0.849,-2.155,0.959,0.013,0.021,4093.0,1464.0,1.0
I_4_hsgp_coeffs[10],-0.785,0.877,-2.509,0.743,0.013,0.021,4363.0,1403.0,1.0
I_4_hsgp_coeffs[11],0.321,0.828,-1.285,1.816,0.015,0.021,3217.0,1509.0,1.0
I_4_hsgp_coeffs[12],1.11,0.898,-0.532,2.878,0.013,0.021,4537.0,1699.0,1.0
I_4_hsgp_coeffs[13],-0.062,0.828,-1.51,1.561,0.011,0.024,5165.0,1274.0,1.0
I_4_hsgp_coeffs[14],-1.124,0.875,-2.88,0.406,0.015,0.024,3243.0,1258.0,1.0
I_4_hsgp_coeffs[15],-0.093,0.862,-1.79,1.46,0.014,0.023,3828.0,1146.0,1.0
I_4_hsgp_coeffs[16],0.802,0.872,-0.748,2.389,0.014,0.021,4082.0,1503.0,1.0
I_4_hsgp_coeffs[17],0.088,0.875,-1.628,1.616,0.013,0.023,4282.0,1406.0,1.0
I_4_hsgp_coeffs[18],-0.337,0.851,-1.932,1.257,0.014,0.021,3763.0,1613.0,1.0
I_4_hsgp_coeffs[19],0.164,0.841,-1.359,1.767,0.012,0.02,4526.0,1495.0,1.0
I_4_hsgp_coeffs[20],-0.099,0.816,-1.587,1.47,0.012,0.02,4737.0,1331.0,1.0
I_4_hsgp_coeffs[21],-0.413,0.903,-2.17,1.218,0.013,0.022,4755.0,1291.0,1.0
I_4_hsgp_coeffs[22],0.324,0.851,-1.301,1.874,0.013,0.024,4621.0,1306.0,1.0
I_4_hsgp_coeffs[23],0.494,0.866,-1.126,2.118,0.014,0.022,3924.0,1246.0,1.0
I_4_hsgp_coeffs[24],-0.319,0.864,-1.918,1.237,0.013,0.022,4707.0,1344.0,1.01
I_4_hsgp_coeffs[25],-0.289,0.833,-1.916,1.234,0.015,0.021,3050.0,1171.0,1.0
I_4_hsgp_coeffs[26],0.092,0.855,-1.449,1.722,0.012,0.023,5194.0,1382.0,1.0
I_4_hsgp_coeffs[27],-0.105,0.893,-1.816,1.441,0.015,0.025,3696.0,1416.0,1.0
I_4_hsgp_coeffs[28],0.181,0.86,-1.611,1.624,0.014,0.024,3904.0,1333.0,1.0
I_4_hsgp_coeffs[29],0.5,0.882,-1.156,2.129,0.013,0.022,4501.0,1415.0,1.0
I_4_hsgp_coeffs[30],-0.459,0.848,-2.093,1.101,0.012,0.021,4624.0,1608.0,1.0
I_4_hsgp_coeffs[31],-0.667,0.835,-2.218,0.916,0.013,0.024,3996.0,1252.0,1.0
I_4_hsgp_coeffs[32],0.542,0.848,-1.081,2.098,0.014,0.021,3901.0,1137.0,1.0
I_4_hsgp_coeffs[33],0.566,0.833,-1.026,2.177,0.013,0.019,4026.0,1518.0,1.0
I_4_hsgp_coeffs[34],-0.6,0.876,-2.301,0.876,0.015,0.029,3562.0,1452.0,1.0
I_4_hsgp_coeffs[35],-0.304,0.896,-1.999,1.287,0.012,0.022,5681.0,1225.0,1.0
I_4_hsgp_coeffs[36],0.605,0.854,-0.948,2.275,0.012,0.02,4822.0,1504.0,1.0
I_4_hsgp_coeffs[37],0.05,0.879,-1.65,1.695,0.011,0.028,6041.0,1177.0,1.0
I_4_hsgp_coeffs[38],-0.607,0.91,-2.26,1.102,0.014,0.023,4278.0,1322.0,1.0
I_4_hsgp_coeffs[39],-0.039,0.867,-1.717,1.423,0.014,0.024,3936.0,1594.0,1.0
I_4_hsgp_coeffs[40],0.589,0.899,-1.197,2.223,0.014,0.024,4319.0,1110.0,1.0
I_4_hsgp_coeffs[41],0.365,0.871,-1.319,1.89,0.013,0.023,4151.0,1489.0,1.0
I_4_hsgp_coeffs[42],-0.475,0.865,-2.109,1.099,0.013,0.022,4312.0,1500.0,1.0
I_4_hsgp_coeffs[43],-0.859,0.874,-2.607,0.706,0.015,0.026,3206.0,1425.0,1.0
I_4_hsgp_coeffs[44],0.195,0.837,-1.311,1.854,0.013,0.021,4164.0,1405.0,1.0
I_4_hsgp_coeffs[45],1.174,0.84,-0.285,2.835,0.013,0.019,3959.0,1564.0,1.0
I_4_hsgp_coeffs[46],0.199,0.861,-1.454,1.788,0.014,0.019,3732.0,1615.0,1.0
I_4_hsgp_coeffs[47],-0.901,0.813,-2.442,0.548,0.013,0.021,4023.0,1575.0,1.0
I_4_hsgp_coeffs[48],-0.559,0.669,-1.814,0.654,0.013,0.016,2690.0,1697.0,1.0
I_4_hsgp_coeffs[49],-0.112,0.777,-1.602,1.335,0.013,0.017,3857.0,1529.0,1.0
I_5_hsgp_coeffs[0],0.044,0.894,-1.679,1.687,0.016,0.022,2911.0,1326.0,1.0
I_5_hsgp_coeffs[1],-0.49,0.921,-2.179,1.267,0.013,0.025,4948.0,1369.0,1.0
I_5_hsgp_coeffs[2],0.08,0.92,-1.63,1.805,0.016,0.022,3423.0,1453.0,1.0
I_5_hsgp_coeffs[3],0.729,0.828,-0.904,2.219,0.014,0.02,3738.0,1369.0,1.0
I_5_hsgp_coeffs[4],-0.246,0.934,-2.054,1.472,0.013,0.024,4939.0,1339.0,1.0
I_5_hsgp_coeffs[5],-0.533,0.823,-2.109,1.029,0.013,0.023,3992.0,1257.0,1.0
I_5_hsgp_coeffs[6],0.329,0.83,-1.089,1.971,0.012,0.019,4948.0,1550.0,1.0
I_5_hsgp_coeffs[7],0.124,0.87,-1.651,1.587,0.014,0.022,3816.0,1289.0,1.0
I_5_hsgp_coeffs[8],-0.213,0.834,-1.862,1.252,0.012,0.024,5061.0,1290.0,1.0
I_5_hsgp_coeffs[9],0.172,0.795,-1.29,1.603,0.013,0.02,3955.0,1428.0,1.0
I_5_hsgp_coeffs[10],-0.045,0.812,-1.603,1.409,0.013,0.023,3945.0,1233.0,1.0
I_5_hsgp_coeffs[11],-0.103,0.854,-1.746,1.399,0.014,0.025,3982.0,1380.0,1.0
I_5_hsgp_coeffs[12],0.389,0.842,-1.188,1.957,0.014,0.019,3830.0,1578.0,1.0
I_5_hsgp_coeffs[13],-0.293,0.811,-1.811,1.142,0.012,0.02,4723.0,1497.0,1.0
I_5_hsgp_coeffs[14],-0.667,0.888,-2.442,0.918,0.014,0.022,3953.0,1200.0,1.0
I_5_hsgp_coeffs[15],0.763,0.839,-0.971,2.201,0.012,0.022,4998.0,1561.0,1.0
I_5_hsgp_coeffs[16],0.849,0.892,-0.634,2.623,0.015,0.024,3723.0,1020.0,1.0
I_5_hsgp_coeffs[17],-1.079,0.821,-2.504,0.558,0.014,0.019,3541.0,1571.0,1.0
I_5_hsgp_coeffs[18],-0.872,0.893,-2.591,0.733,0.014,0.021,4182.0,1532.0,1.0
I_5_hsgp_coeffs[19],1.045,0.865,-0.568,2.686,0.012,0.022,4985.0,1504.0,1.0
I_5_hsgp_coeffs[20],0.821,0.862,-0.823,2.345,0.015,0.019,3434.0,1388.0,1.0
I_5_hsgp_coeffs[21],-0.683,0.88,-2.218,1.027,0.014,0.02,3780.0,1506.0,1.0
I_5_hsgp_coeffs[22],-0.707,0.874,-2.347,0.849,0.014,0.023,4150.0,1543.0,1.0
I_5_hsgp_coeffs[23],0.237,0.857,-1.228,1.872,0.013,0.02,4539.0,1355.0,1.0
I_5_hsgp_coeffs[24],0.555,0.881,-1.075,2.223,0.013,0.022,4841.0,1450.0,1.0
I_5_hsgp_coeffs[25],0.155,0.85,-1.386,1.737,0.013,0.021,4154.0,1507.0,1.0
I_5_hsgp_coeffs[26],-0.409,0.846,-2.049,1.155,0.013,0.023,4392.0,1567.0,1.0
I_5_hsgp_coeffs[27],-0.282,0.873,-1.899,1.323,0.013,0.023,4667.0,1296.0,1.0
I_5_hsgp_coeffs[28],0.124,0.837,-1.412,1.745,0.014,0.02,3652.0,1247.0,1.0
I_5_hsgp_coeffs[29],0.225,0.882,-1.464,1.821,0.014,0.024,4066.0,1435.0,1.0
I_5_hsgp_coeffs[30],0.151,0.887,-1.479,1.764,0.012,0.025,5480.0,1351.0,1.0
I_5_hsgp_coeffs[31],-0.049,0.861,-1.68,1.511,0.012,0.026,5413.0,1393.0,1.01
I_5_hsgp_coeffs[32],-0.417,0.866,-2.137,1.107,0.015,0.021,3411.0,1383.0,1.0
I_5_hsgp_coeffs[33],0.019,0.86,-1.649,1.605,0.012,0.023,5091.0,1295.0,1.0
I_5_hsgp_coeffs[34],0.659,0.835,-0.997,2.146,0.012,0.02,4791.0,1063.0,1.0
I_5_hsgp_coeffs[35],-0.166,0.852,-1.758,1.512,0.013,0.021,3954.0,1398.0,1.0
I_5_hsgp_coeffs[36],-0.663,0.832,-2.189,0.912,0.012,0.025,4581.0,1151.0,1.0
I_5_hsgp_coeffs[37],0.474,0.878,-1.123,2.202,0.015,0.023,3574.0,1355.0,1.0
I_5_hsgp_coeffs[38],0.557,0.833,-0.894,2.147,0.013,0.02,4032.0,1444.0,1.0
I_5_hsgp_coeffs[39],-0.727,0.894,-2.305,1.004,0.014,0.024,4220.0,1481.0,1.0
I_5_hsgp_coeffs[40],-0.297,0.834,-1.838,1.289,0.013,0.022,4369.0,1313.0,1.0
I_5_hsgp_coeffs[41],0.779,0.869,-0.791,2.503,0.013,0.027,4431.0,1224.0,1.0
I_5_hsgp_coeffs[42],0.039,0.856,-1.523,1.694,0.014,0.024,3456.0,1314.0,1.01
I_5_hsgp_coeffs[43],-0.638,0.85,-2.258,0.937,0.013,0.02,4408.0,1640.0,1.0
I_5_hsgp_coeffs[44],0.08,0.874,-1.672,1.608,0.013,0.027,4412.0,1153.0,1.0
I_5_hsgp_coeffs[45],0.169,0.863,-1.479,1.695,0.012,0.027,4781.0,1286.0,1.0
I_5_hsgp_coeffs[46],0.064,0.874,-1.617,1.678,0.014,0.022,3929.0,1433.0,1.0
I_5_hsgp_coeffs[47],0.403,0.818,-1.134,1.905,0.014,0.019,3256.0,1542.0,1.0
I_5_hsgp_coeffs[48],-0.508,0.699,-1.916,0.726,0.012,0.016,3622.0,1529.0,1.0
I_5_hsgp_coeffs[49],-0.919,0.72,-2.31,0.45,0.011,0.016,3970.0,1636.0,1.0
