,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_6[26],-0.456,0.331,-1.157,0.09,0.007,0.006,2009.0,2718.0,1.0
I_6[27],-0.458,0.331,-1.171,0.081,0.007,0.006,1984.0,2467.0,1.0
I_6[28],-0.465,0.332,-1.196,0.061,0.007,0.006,1949.0,2541.0,1.0
I_6[29],-0.475,0.335,-1.206,0.052,0.007,0.006,1926.0,2655.0,1.0
I_6[30],-0.485,0.337,-1.184,0.072,0.007,0.006,1910.0,2713.0,1.0
I_6[31],-0.491,0.339,-1.192,0.069,0.007,0.006,1907.0,2753.0,1.0
I_6[32],-0.487,0.339,-1.202,0.065,0.007,0.006,1930.0,2610.0,1.0
I_6[33],-0.469,0.336,-1.162,0.096,0.007,0.006,1983.0,2630.0,1.0
I_6[34],-0.433,0.33,-1.136,0.108,0.007,0.006,2076.0,2585.0,1.0
I_6[35],-0.377,0.321,-1.048,0.18,0.007,0.006,2230.0,2515.0,1.0
I_6[36],-0.299,0.311,-0.993,0.216,0.006,0.006,2476.0,2502.0,1.0
I_6[37],-0.202,0.3,-0.819,0.361,0.006,0.006,2659.0,2502.0,1.0
I_6[38],-0.088,0.293,-0.68,0.463,0.006,0.006,2848.0,2552.0,1.0
I_6[39],0.036,0.292,-0.54,0.596,0.006,0.006,2970.0,2591.0,1.0
I_6[40],0.163,0.297,-0.42,0.722,0.006,0.006,2957.0,2559.0,1.0
I_6[41],0.285,0.309,-0.276,0.901,0.006,0.007,2790.0,2494.0,1.0
I_6[42],0.394,0.324,-0.185,1.033,0.007,0.007,2590.0,2534.0,1.0
I_6[43],0.481,0.339,-0.113,1.146,0.007,0.007,2427.0,2612.0,1.0
I_6[44],0.542,0.351,-0.037,1.257,0.007,0.007,2324.0,2550.0,1.0
I_6[45],0.571,0.356,-0.016,1.295,0.007,0.007,2292.0,2545.0,1.0
I_6[46],0.568,0.355,-0.008,1.304,0.007,0.007,2324.0,2529.0,1.0
I_6[47],0.534,0.348,-0.044,1.237,0.007,0.007,2417.0,2537.0,1.0
I_6[48],0.473,0.337,-0.076,1.176,0.007,0.007,2564.0,2571.0,1.0
I_6[49],0.393,0.323,-0.167,1.037,0.006,0.007,2743.0,2613.0,1.0
I_6[50],0.302,0.311,-0.251,0.939,0.006,0.007,2879.0,2606.0,1.0
I_6[51],0.209,0.301,-0.348,0.821,0.006,0.007,2973.0,2685.0,1.0
I_6[52],0.126,0.296,-0.484,0.678,0.006,0.006,3012.0,2754.0,1.0
I_6[53],0.06,0.294,-0.469,0.691,0.006,0.006,3009.0,2544.0,1.0
I_6[54],0.019,0.294,-0.551,0.611,0.006,0.006,2962.0,2522.0,1.0
I_6[55],0.008,0.294,-0.583,0.581,0.006,0.006,2937.0,2574.0,1.0
I_6[56],0.029,0.294,-0.578,0.582,0.006,0.006,2936.0,2537.0,1.0
I_6[57],0.081,0.295,-0.509,0.645,0.006,0.006,2951.0,2573.0,1.0
I_6[58],0.16,0.299,-0.436,0.737,0.006,0.006,2930.0,2584.0,1.0
I_6[59],0.26,0.307,-0.333,0.858,0.006,0.007,2809.0,2636.0,1.0
I_6[60],0.373,0.322,-0.208,1.012,0.006,0.007,2622.0,2601.0,1.0
I_6[61],0.49,0.342,-0.139,1.144,0.007,0.007,2413.0,2732.0,1.0
I_6[62],0.604,0.365,0.002,1.338,0.008,0.007,2232.0,2703.0,1.0
I_6[63],0.707,0.388,0.079,1.467,0.008,0.008,2094.0,2875.0,1.0
I_6[64],0.792,0.409,0.176,1.636,0.009,0.008,1999.0,2897.0,1.0
I_6[65],0.857,0.426,0.201,1.714,0.01,0.008,1935.0,2651.0,1.0
I_6[66],0.901,0.438,0.215,1.764,0.01,0.008,1895.0,2565.0,1.0
I_6[67],0.924,0.444,0.211,1.774,0.01,0.008,1875.0,2650.0,1.0
I_6[68],0.931,0.446,0.201,1.771,0.01,0.008,1866.0,2597.0,1.0
I_6[69],0.926,0.444,0.201,1.766,0.01,0.008,1866.0,2760.0,1.0
I_6[70],0.914,0.442,0.215,1.774,0.01,0.008,1870.0,2760.0,1.0
I_6[71],0.903,0.439,0.21,1.755,0.01,0.008,1874.0,2840.0,1.0
I_6[72],0.895,0.437,0.19,1.727,0.01,0.008,1875.0,2850.0,1.0
I_6[73],0.895,0.437,0.18,1.728,0.01,0.008,1870.0,2894.0,1.0
I_6[74],0.903,0.439,0.181,1.738,0.01,0.008,1855.0,2727.0,1.0
I_6[75],0.919,0.443,0.196,1.764,0.01,0.008,1837.0,2707.0,1.0
I_6[76],0.939,0.448,0.216,1.802,0.01,0.009,1823.0,2708.0,1.0
I_6[77],0.959,0.453,0.242,1.848,0.01,0.009,1804.0,2746.0,1.0
I_6[78],0.973,0.457,0.22,1.843,0.01,0.009,1797.0,2870.0,1.0
I_6[79],0.974,0.457,0.214,1.835,0.01,0.009,1803.0,2917.0,1.0
I_6[80],0.959,0.453,0.22,1.833,0.01,0.009,1827.0,2891.0,1.0
I_6[81],0.921,0.443,0.19,1.765,0.01,0.008,1875.0,2775.0,1.0
I_6[82],0.861,0.427,0.183,1.697,0.009,0.008,1958.0,2900.0,1.0
I_6[83],0.777,0.406,0.105,1.565,0.009,0.008,2060.0,2831.0,1.0
I_6[84],0.675,0.381,0.028,1.423,0.008,0.008,2213.0,2782.0,1.0
I_6[85],0.558,0.356,-0.051,1.283,0.007,0.007,2418.0,2704.0,1.0
I_6[86],0.437,0.334,-0.108,1.161,0.007,0.007,2657.0,2637.0,1.0
I_6[87],0.319,0.316,-0.224,1.003,0.006,0.007,2894.0,2610.0,1.0
I_6[88],0.214,0.304,-0.37,0.842,0.006,0.006,3029.0,2656.0,1.0
I_6[89],0.131,0.299,-0.464,0.725,0.006,0.006,3050.0,2598.0,1.0
I_6[90],0.078,0.296,-0.548,0.632,0.006,0.006,3024.0,2575.0,1.0
I_6[91],0.059,0.295,-0.543,0.623,0.006,0.006,2985.0,2540.0,1.0
I_6[92],0.075,0.294,-0.491,0.661,0.006,0.006,2946.0,2431.0,1.0
I_6[93],0.125,0.295,-0.462,0.691,0.006,0.006,2904.0,2371.0,1.0
I_6[94],0.202,0.299,-0.384,0.787,0.006,0.007,2822.0,2329.0,1.0
I_6[95],0.298,0.308,-0.277,0.91,0.006,0.007,2686.0,2498.0,1.0
I_6[96],0.402,0.322,-0.132,1.088,0.007,0.007,2488.0,2561.0,1.0
I_6[97],0.502,0.339,-0.05,1.208,0.007,0.007,2305.0,2622.0,1.0
I_6[98],0.585,0.356,0.011,1.316,0.008,0.007,2187.0,2586.0,1.0
I_6[99],0.641,0.37,0.04,1.373,0.008,0.007,2128.0,2569.0,1.0
I_6[100],0.661,0.376,0.076,1.43,0.008,0.007,2127.0,2557.0,1.0
I_6[101],0.638,0.373,0.056,1.401,0.008,0.007,2191.0,2712.0,1.0
I_6[102],0.572,0.361,0.003,1.314,0.007,0.007,2327.0,2752.0,1.0
I_6[103],0.463,0.342,-0.096,1.174,0.007,0.007,2539.0,2637.0,1.0
I_6[104],0.319,0.321,-0.239,0.977,0.006,0.007,2806.0,2639.0,1.0
I_6[105],0.147,0.304,-0.44,0.726,0.006,0.006,2975.0,2711.0,1.0
I_6[106],-0.039,0.299,-0.648,0.52,0.006,0.006,2862.0,2885.0,1.0
I_6[107],-0.226,0.307,-0.877,0.326,0.006,0.006,2562.0,2854.0,1.0
I_6[108],-0.402,0.328,-1.053,0.204,0.007,0.006,2263.0,2813.0,1.0
I_6[109],-0.554,0.356,-1.261,0.081,0.008,0.006,1919.0,2841.0,1.0
I_6[110],-0.671,0.385,-1.457,-0.041,0.009,0.007,1802.0,2791.0,1.0
I_7[0],0.578,0.387,-0.091,1.329,0.008,0.007,2567.0,2822.0,1.0
I_7[1],0.701,0.406,-0.007,1.46,0.008,0.008,2350.0,2746.0,1.0
I_7[2],0.778,0.422,0.099,1.616,0.009,0.008,2248.0,2688.0,1.0
I_7[3],0.804,0.428,0.108,1.644,0.009,0.008,2231.0,2668.0,1.0
I_7[4],0.778,0.422,0.11,1.633,0.009,0.008,2277.0,2742.0,1.0
I_7[5],0.703,0.406,0.005,1.475,0.008,0.008,2389.0,2745.0,1.0
I_7[6],0.587,0.382,-0.08,1.331,0.008,0.008,2565.0,2763.0,1.0
I_7[7],0.439,0.358,-0.241,1.1,0.007,0.008,2826.0,2876.0,1.0
I_7[8],0.271,0.337,-0.306,0.978,0.006,0.008,3150.0,2766.0,1.0
I_7[9],0.095,0.326,-0.481,0.756,0.006,0.008,3400.0,2704.0,1.0
I_7[10],-0.075,0.327,-0.671,0.556,0.006,0.008,3415.0,2768.0,1.0
I_7[11],-0.229,0.337,-0.858,0.396,0.006,0.009,3220.0,2601.0,1.0
I_7[12],-0.355,0.351,-1.024,0.269,0.007,0.009,2889.0,2655.0,1.0
I_7[13],-0.446,0.364,-1.166,0.169,0.007,0.009,2648.0,2882.0,1.0
I_7[14],-0.496,0.373,-1.172,0.181,0.007,0.01,2534.0,2816.0,1.0
I_7[15],-0.502,0.374,-1.205,0.146,0.008,0.01,2503.0,2775.0,1.0
I_7[16],-0.463,0.368,-1.159,0.172,0.007,0.01,2611.0,2620.0,1.0
I_7[17],-0.38,0.357,-1.054,0.239,0.007,0.01,2913.0,2688.0,1.0
I_7[18],-0.259,0.342,-0.895,0.366,0.006,0.009,3142.0,2528.0,1.0
I_7[19],-0.104,0.331,-0.716,0.504,0.006,0.009,3337.0,2585.0,1.0
I_7[20],0.077,0.328,-0.521,0.703,0.006,0.009,3350.0,2718.0,1.0
I_7[21],0.275,0.338,-0.301,0.954,0.006,0.008,3087.0,2783.0,1.0
I_7[22],0.481,0.363,-0.131,1.199,0.007,0.008,2724.0,2839.0,1.0
I_7[23],0.686,0.399,0.007,1.447,0.008,0.008,2410.0,2796.0,1.0
I_7[24],0.879,0.441,0.141,1.709,0.009,0.008,2162.0,2607.0,1.0
I_7[25],1.052,0.483,0.264,1.966,0.011,0.008,1979.0,2356.0,1.0
I_7[26],1.197,0.522,0.307,2.152,0.012,0.009,1818.0,2296.0,1.0
I_7[27],1.305,0.552,0.361,2.305,0.013,0.009,1732.0,2149.0,1.0
I_7[28],1.372,0.572,0.43,2.44,0.013,0.01,1683.0,2157.0,1.0
I_7[29],1.395,0.579,0.405,2.442,0.014,0.01,1667.0,2182.0,1.0
I_7[30],1.374,0.574,0.41,2.427,0.013,0.01,1673.0,2224.0,1.0
I_7[31],1.312,0.557,0.399,2.342,0.013,0.009,1703.0,2292.0,1.0
I_7[32],1.214,0.53,0.362,2.207,0.012,0.009,1765.0,2158.0,1.0
I_7[33],1.088,0.496,0.297,2.03,0.011,0.009,1877.0,2262.0,1.0
I_7[34],0.943,0.459,0.211,1.848,0.01,0.008,2060.0,2411.0,1.0
I_7[35],0.791,0.424,0.045,1.579,0.009,0.008,2241.0,2608.0,1.0
I_7[36],0.645,0.394,-0.033,1.407,0.008,0.008,2459.0,2802.0,1.0
I_7[37],0.514,0.37,-0.128,1.231,0.007,0.008,2678.0,2821.0,1.0
I_7[38],0.41,0.354,-0.201,1.111,0.007,0.008,2874.0,2873.0,1.0
