,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_4[75],0.11,0.341,-0.538,0.779,0.007,0.007,2552.0,1948.0,1.0
I_4[76],-0.046,0.343,-0.737,0.594,0.007,0.007,2527.0,2049.0,1.0
I_4[77],-0.193,0.35,-0.878,0.471,0.007,0.007,2453.0,2036.0,1.0
I_4[78],-0.322,0.359,-1.006,0.391,0.008,0.007,2303.0,2085.0,1.0
I_4[79],-0.426,0.369,-1.141,0.275,0.008,0.007,2205.0,2059.0,1.0
I_4[80],-0.499,0.381,-1.236,0.222,0.008,0.007,2216.0,2265.0,1.0
mu_w_4[0],24.479,20.09,7.453,48.678,0.422,2.401,5186.0,2122.0,1.0
mu_w_4[1],107.956,188.595,14.523,237.327,3.296,22.675,4307.0,2787.0,1.0
mu_w_4[2],22.119,17.635,5.662,42.644,0.376,2.058,5182.0,2110.0,1.0
mu_w_4[3],20.765,16.787,5.13,39.884,0.36,1.924,5111.0,2080.0,1.0
mu_w_4[4],15.014,12.457,3.41,29.863,0.275,1.4,4903.0,2215.0,1.0
mu_w_4[5],13.069,11.013,2.691,26.558,0.244,1.213,4616.0,2147.0,1.0
mu_w_4[6],24.865,19.54,7.047,48.787,0.42,2.074,5056.0,2085.0,1.0
mu_w_4[7],25.856,21.065,7.201,50.323,0.441,2.318,5041.0,2065.0,1.0
mu_w_4[8],13.674,11.469,2.815,28.371,0.256,1.144,4572.0,2237.0,1.0
I_5[0],0.013,0.275,-0.508,0.546,0.006,0.005,2491.0,2889.0,1.0
I_5[1],0.052,0.27,-0.466,0.572,0.006,0.005,2517.0,2785.0,1.0
I_5[2],0.06,0.271,-0.446,0.585,0.006,0.005,2453.0,2696.0,1.0
I_5[3],0.04,0.273,-0.504,0.537,0.006,0.005,2412.0,2499.0,1.0
I_5[4],-0.003,0.276,-0.541,0.518,0.006,0.005,2383.0,2544.0,1.0
I_5[5],-0.061,0.278,-0.584,0.485,0.006,0.006,2359.0,2471.0,1.0
I_5[6],-0.126,0.281,-0.668,0.409,0.006,0.006,2340.0,2495.0,1.0
I_5[7],-0.192,0.283,-0.701,0.377,0.006,0.006,2315.0,2527.0,1.0
I_5[8],-0.249,0.285,-0.79,0.3,0.006,0.006,2298.0,2464.0,1.0
I_5[9],-0.292,0.286,-0.813,0.265,0.006,0.006,2288.0,2447.0,1.0
I_5[10],-0.313,0.286,-0.846,0.232,0.006,0.006,2292.0,2395.0,1.0
I_5[11],-0.311,0.283,-0.823,0.249,0.006,0.006,2306.0,2420.0,1.0
I_5[12],-0.281,0.279,-0.792,0.266,0.006,0.006,2332.0,2442.0,1.0
I_5[13],-0.225,0.273,-0.723,0.322,0.006,0.006,2369.0,2207.0,1.0
I_5[14],-0.144,0.268,-0.68,0.35,0.006,0.006,2404.0,2209.0,1.0
I_5[15],-0.042,0.264,-0.57,0.436,0.006,0.005,2428.0,2001.0,1.0
I_5[16],0.076,0.263,-0.412,0.595,0.006,0.005,2356.0,2090.0,1.0
I_5[17],0.203,0.268,-0.294,0.719,0.006,0.005,2201.0,2170.0,1.0
I_5[18],0.333,0.277,-0.169,0.867,0.006,0.005,2219.0,2166.0,1.0
I_5[19],0.458,0.291,-0.05,1.029,0.006,0.005,2266.0,2312.0,1.0
I_5[20],0.572,0.307,0.067,1.195,0.007,0.005,2192.0,2389.0,1.0
I_5[21],0.667,0.322,0.119,1.307,0.007,0.005,2133.0,2460.0,1.0
I_5[22],0.74,0.334,0.172,1.397,0.007,0.005,2092.0,2474.0,1.0
I_5[23],0.787,0.343,0.219,1.477,0.007,0.006,2067.0,2459.0,1.0
I_5[24],0.804,0.346,0.251,1.517,0.008,0.006,2061.0,2427.0,1.0
I_5[25],0.793,0.344,0.226,1.488,0.007,0.006,2071.0,2491.0,1.0
I_5[26],0.755,0.337,0.205,1.442,0.007,0.005,2100.0,2627.0,1.0
I_5[27],0.691,0.326,0.176,1.372,0.007,0.005,2152.0,2704.0,1.0
I_5[28],0.606,0.313,0.099,1.246,0.007,0.005,2227.0,2731.0,1.0
I_5[29],0.506,0.298,-0.001,1.095,0.006,0.005,2314.0,2600.0,1.0
I_5[30],0.395,0.285,-0.104,0.958,0.006,0.005,2396.0,2543.0,1.0
I_5[31],0.28,0.274,-0.22,0.818,0.006,0.005,2464.0,2573.0,1.0
I_5[32],0.167,0.267,-0.352,0.672,0.005,0.005,2501.0,2465.0,1.0
I_5[33],0.06,0.264,-0.423,0.597,0.005,0.005,2512.0,2403.0,1.0
I_5[34],-0.037,0.265,-0.564,0.457,0.005,0.005,2479.0,2272.0,1.0
I_5[35],-0.118,0.268,-0.666,0.373,0.006,0.005,2426.0,2267.0,1.0
I_5[36],-0.183,0.272,-0.74,0.315,0.006,0.005,2370.0,2341.0,1.0
I_5[37],-0.23,0.276,-0.769,0.301,0.006,0.006,2319.0,2297.0,1.0
I_5[38],-0.258,0.279,-0.804,0.275,0.006,0.006,2276.0,2270.0,1.0
I_5[39],-0.269,0.281,-0.802,0.28,0.006,0.006,2250.0,2247.0,1.0
I_5[40],-0.265,0.282,-0.781,0.297,0.006,0.006,2237.0,2381.0,1.0
I_5[41],-0.249,0.281,-0.77,0.309,0.006,0.006,2240.0,2382.0,1.0
I_5[42],-0.223,0.28,-0.743,0.332,0.006,0.006,2255.0,2443.0,1.0
I_5[43],-0.191,0.278,-0.709,0.359,0.006,0.006,2280.0,2309.0,1.0
I_5[44],-0.156,0.276,-0.665,0.398,0.006,0.006,2309.0,2309.0,1.0
I_5[45],-0.121,0.274,-0.638,0.413,0.006,0.006,2343.0,2395.0,1.0
I_5[46],-0.088,0.272,-0.581,0.467,0.006,0.006,2376.0,2457.0,1.0
I_5[47],-0.06,0.27,-0.558,0.485,0.006,0.006,2401.0,2412.0,1.0
I_5[48],-0.038,0.269,-0.521,0.518,0.006,0.006,2424.0,2442.0,1.0
I_5[49],-0.023,0.269,-0.541,0.495,0.006,0.005,2441.0,2307.0,1.0
I_5[50],-0.014,0.268,-0.535,0.494,0.006,0.005,2449.0,2450.0,1.0
I_5[51],-0.01,0.268,-0.534,0.491,0.006,0.005,2449.0,2425.0,1.0
I_5[52],-0.011,0.267,-0.522,0.499,0.006,0.005,2451.0,2409.0,1.0
I_5[53],-0.014,0.267,-0.536,0.485,0.006,0.005,2444.0,2467.0,1.0
I_5[54],-0.018,0.267,-0.544,0.475,0.006,0.005,2436.0,2499.0,1.0
I_5[55],-0.02,0.267,-0.537,0.483,0.006,0.005,2425.0,2436.0,1.0
I_5[56],-0.019,0.267,-0.516,0.501,0.006,0.005,2411.0,2457.0,1.0
I_5[57],-0.011,0.267,-0.514,0.502,0.006,0.005,2397.0,2441.0,1.0
I_5[58],0.005,0.267,-0.506,0.516,0.006,0.005,2386.0,2505.0,1.0
I_5[59],0.03,0.267,-0.478,0.548,0.006,0.005,2377.0,2456.0,1.0
I_5[60],0.066,0.267,-0.457,0.568,0.006,0.005,2375.0,2410.0,1.0
I_5[61],0.114,0.268,-0.402,0.625,0.006,0.005,2336.0,2505.0,1.0
I_5[62],0.174,0.271,-0.316,0.713,0.006,0.005,2296.0,2397.0,1.0
I_5[63],0.246,0.275,-0.247,0.787,0.006,0.005,2294.0,2369.0,1.0
I_5[64],0.33,0.281,-0.17,0.885,0.006,0.005,2318.0,2321.0,1.0
I_5[65],0.425,0.291,-0.1,0.987,0.006,0.005,2276.0,2522.0,1.0
I_5[66],0.53,0.304,-0.004,1.125,0.006,0.005,2212.0,2529.0,1.0
I_5[67],0.643,0.321,0.088,1.271,0.007,0.005,2136.0,2573.0,1.0
I_5[68],0.762,0.341,0.187,1.444,0.007,0.006,2047.0,2609.0,1.0
I_5[69],0.885,0.364,0.276,1.604,0.008,0.006,1970.0,2569.0,1.0
I_5[70],1.01,0.39,0.367,1.792,0.009,0.006,1908.0,2471.0,1.0
I_5[71],1.132,0.417,0.411,1.934,0.009,0.007,1859.0,2236.0,1.0
I_5[72],1.249,0.443,0.487,2.102,0.01,0.007,1822.0,2274.0,1.0
I_5[73],1.359,0.469,0.538,2.255,0.011,0.007,1798.0,2297.0,1.0
I_5[74],1.456,0.492,0.569,2.373,0.011,0.008,1782.0,2200.0,1.0
I_5[75],1.539,0.512,0.689,2.568,0.012,0.008,1772.0,2110.0,1.0
I_5[76],1.604,0.528,0.723,2.668,0.012,0.008,1768.0,2145.0,1.0
I_5[77],1.648,0.539,0.727,2.715,0.012,0.008,1768.0,2202.0,1.0
I_5[78],1.669,0.543,0.712,2.718,0.013,0.008,1770.0,2216.0,1.0
I_5[79],1.665,0.542,0.695,2.698,0.012,0.008,1777.0,2216.0,1.0
I_5[80],1.634,0.533,0.722,2.693,0.012,0.008,1788.0,2146.0,1.0
I_5[81],1.577,0.519,0.705,2.626,0.012,0.008,1804.0,2176.0,1.0
I_5[82],1.494,0.498,0.591,2.435,0.011,0.007,1822.0,2079.0,1.0
I_5[83],1.386,0.472,0.538,2.285,0.011,0.007,1847.0,2254.0,1.0
I_5[84],1.256,0.441,0.422,2.057,0.01,0.007,1881.0,2178.0,1.0
I_5[85],1.108,0.408,0.349,1.855,0.009,0.006,1924.0,2324.0,1.0
I_5[86],0.944,0.374,0.274,1.644,0.008,0.006,1994.0,2545.0,1.0
I_5[87],0.77,0.341,0.206,1.441,0.007,0.006,2094.0,2777.0,1.0
I_5[88],0.591,0.311,0.078,1.208,0.007,0.005,2218.0,2678.0,1.0
I_5[89],0.413,0.288,-0.121,0.954,0.006,0.005,2340.0,2573.0,1.0
I_5[90],0.241,0.273,-0.236,0.8,0.006,0.005,2422.0,2538.0,1.0
I_5[91],0.079,0.267,-0.422,0.601,0.006,0.005,2420.0,2467.0,1.0
I_5[92],-0.067,0.268,-0.571,0.45,0.006,0.006,2474.0,2586.0,1.0
I_5[93],-0.195,0.275,-0.718,0.322,0.006,0.006,2413.0,2492.0,1.0
I_5[94],-0.3,0.284,-0.851,0.215,0.006,0.006,2332.0,2318.0,1.0
I_5[95],-0.383,0.293,-0.957,0.141,0.006,0.006,2266.0,2356.0,1.0
I_5[96],-0.442,0.3,-1.047,0.08,0.006,0.006,2213.0,2330.0,1.0
I_5[97],-0.477,0.306,-1.096,0.055,0.007,0.006,2176.0,2275.0,1.0
I_5[98],-0.492,0.308,-1.099,0.059,0.007,0.006,2150.0,2303.0,1.0
I_5[99],-0.488,0.308,-1.103,0.058,0.007,0.006,2131.0,2305.0,1.0
I_5[100],-0.47,0.306,-1.069,0.08,0.007,0.006,2124.0,2317.0,1.0
I_5[101],-0.441,0.302,-1.007,0.135,0.007,0.006,2121.0,2328.0,1.0
I_5[102],-0.407,0.298,-0.973,0.16,0.007,0.006,2124.0,2337.0,1.0
I_5[103],-0.37,0.294,-0.917,0.201,0.006,0.006,2134.0,2295.0,1.0
I_5[104],-0.336,0.29,-0.885,0.223,0.006,0.006,2142.0,2309.0,1.0
I_5[105],-0.308,0.287,-0.845,0.256,0.006,0.006,2154.0,2354.0,1.0
I_5[106],-0.288,0.285,-0.836,0.261,0.006,0.006,2170.0,2339.0,1.0
I_5[107],-0.279,0.284,-0.821,0.265,0.006,0.006,2192.0,2268.0,1.0
I_5[108],-0.28,0.283,-0.805,0.285,0.006,0.006,2197.0,2283.0,1.0
I_5[109],-0.293,0.284,-0.823,0.267,0.006,0.006,2203.0,2312.0,1.0
I_5[110],-0.315,0.286,-0.833,0.253,0.006,0.006,2206.0,2409.0,1.0
I_5[111],-0.344,0.289,-0.867,0.223,0.006,0.006,2200.0,2473.0,1.0
I_5[112],-0.379,0.293,-0.953,0.154,0.006,0.006,2190.0,2544.0,1.0
I_5[113],-0.415,0.297,-0.991,0.131,0.006,0.006,2177.0,2477.0,1.0
I_5[114],-0.45,0.302,-1.034,0.101,0.007,0.006,2164.0,2422.0,1.0
I_5[115],-0.482,0.306,-1.069,0.082,0.007,0.006,2152.0,2390.0,1.0
I_5[116],-0.506,0.31,-1.113,0.05,0.007,0.006,2138.0,2382.0,1.0
I_5[117],-0.522,0.313,-1.092,0.073,0.007,0.006,2126.0,2408.0,1.0
I_5[118],-0.529,0.315,-1.116,0.054,0.007,0.006,2114.0,2450.0,1.0
I_5[119],-0.525,0.315,-1.099,0.079,0.007,0.006,2107.0,2388.0,1.0
I_5[120],-0.513,0.313,-1.13,0.046,0.007,0.006,2105.0,2327.0,1.0
I_5[121],-0.493,0.311,-1.115,0.052,0.007,0.006,2108.0,2333.0,1.0
I_5[122],-0.467,0.308,-1.021,0.137,0.007,0.006,2112.0,2320.0,1.0
I_5[123],-0.438,0.304,-0.987,0.157,0.007,0.006,2123.0,2264.0,1.0
I_5[124],-0.41,0.3,-0.959,0.173,0.007,0.006,2136.0,2238.0,1.0
I_5[125],-0.383,0.297,-0.939,0.173,0.006,0.006,2150.0,2311.0,1.0
I_5[126],-0.362,0.294,-0.913,0.189,0.006,0.006,2165.0,2258.0,1.0
I_5[127],-0.348,0.292,-0.901,0.201,0.006,0.006,2183.0,2299.0,1.0
I_5[128],-0.341,0.291,-0.937,0.161,0.006,0.006,2197.0,2268.0,1.0
I_5[129],-0.344,0.291,-0.922,0.178,0.006,0.006,2210.0,2216.0,1.0
I_5[130],-0.354,0.292,-0.942,0.166,0.006,0.006,2219.0,2466.0,1.0
I_5[131],-0.37,0.295,-0.979,0.135,0.006,0.006,2224.0,2465.0,1.0
I_5[132],-0.389,0.298,-0.992,0.138,0.006,0.006,2229.0,2413.0,1.0
I_5[133],-0.41,0.301,-0.968,0.168,0.006,0.006,2231.0,2477.0,1.0
I_5[134],-0.427,0.304,-1.002,0.144,0.007,0.006,2225.0,2333.0,1.0
I_5[135],-0.438,0.305,-1.03,0.127,0.007,0.006,2219.0,2334.0,1.0
I_5[136],-0.439,0.306,-1.049,0.109,0.007,0.006,2213.0,2309.0,1.0
I_5[137],-0.428,0.304,-1.038,0.123,0.007,0.006,2215.0,2317.0,1.0
I_5[138],-0.401,0.302,-0.978,0.168,0.007,0.006,2236.0,2315.0,1.0
I_5[139],-0.359,0.3,-0.934,0.215,0.006,0.006,2295.0,2336.0,1.0
I_5[140],-0.301,0.301,-0.871,0.29,0.006,0.006,2410.0,2416.0,1.0
mu_w_5[0],112.27,52.073,35.368,200.912,0.796,1.605,6328.0,2699.0,1.0
mu_w_5[1],117.76,54.077,39.068,212.201,0.812,1.723,6605.0,2934.0,1.0
mu_w_5[2],242.65,124.929,73.465,451.595,1.891,4.125,6340.0,3027.0,1.0
mu_w_5[3],118.301,53.906,42.156,216.795,0.799,1.711,6826.0,2889.0,1.0
mu_w_5[4],105.348,49.054,34.894,192.115,0.743,1.512,6489.0,2802.0,1.0
mu_w_5[5],119.558,54.756,40.64,214.785,0.831,1.72,6645.0,2787.0,1.0
mu_w_5[6],182.389,86.339,57.358,320.77,1.289,2.881,6664.0,2972.0,1.0
mu_w_5[7],554.573,451.429,88.925,1233.458,7.032,21.761,5051.0,3131.0,1.0
mu_w_5[8],385.063,249.17,92.017,805.433,3.844,9.415,5687.0,3329.0,1.0
mu_w_5[9],385.063,249.17,92.017,805.433,3.844,9.415,5687.0,3329.0,1.0
mu_w_5[10],94.892,45.403,30.92,175.339,0.691,1.38,6384.0,2853.0,1.0
mu_w_5[11],86.953,42.646,25.905,162.553,0.673,1.27,5769.0,2633.0,1.0
mu_w_5[12],78.903,40.098,21.845,147.886,0.631,1.199,5530.0,2801.0,1.0
I_6[0],-1.007,0.438,-1.829,-0.282,0.01,0.009,1957.0,2336.0,1.0
I_6[1],-1.025,0.437,-1.859,-0.306,0.01,0.009,1893.0,2340.0,1.0
I_6[2],-1.016,0.434,-1.81,-0.264,0.01,0.009,1872.0,2312.0,1.0
