,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_3[87],-0.466,0.323,-1.11,0.098,0.006,0.006,3109.0,3061.0,1.0
I_3[88],-0.569,0.337,-1.232,0.009,0.006,0.006,2990.0,2909.0,1.0
I_3[89],-0.653,0.351,-1.35,-0.07,0.007,0.007,2900.0,3060.0,1.0
I_3[90],-0.717,0.362,-1.443,-0.12,0.007,0.007,2848.0,3063.0,1.0
I_3[91],-0.762,0.371,-1.527,-0.169,0.007,0.007,2816.0,3012.0,1.0
I_3[92],-0.79,0.377,-1.54,-0.161,0.007,0.007,2800.0,2988.0,1.0
I_3[93],-0.804,0.381,-1.562,-0.174,0.007,0.007,2796.0,2853.0,1.0
I_3[94],-0.807,0.382,-1.551,-0.161,0.007,0.007,2797.0,3055.0,1.0
I_3[95],-0.803,0.382,-1.555,-0.162,0.007,0.007,2802.0,2983.0,1.0
I_3[96],-0.794,0.381,-1.552,-0.163,0.007,0.007,2796.0,3060.0,1.0
I_3[97],-0.782,0.378,-1.568,-0.194,0.007,0.007,2779.0,3006.0,1.0
I_3[98],-0.769,0.376,-1.51,-0.149,0.007,0.007,2765.0,2936.0,1.0
I_3[99],-0.755,0.373,-1.48,-0.125,0.007,0.007,2754.0,3128.0,1.0
I_3[100],-0.738,0.372,-1.469,-0.119,0.007,0.007,2759.0,3160.0,1.0
mu_w_3[0],95.226,68.336,26.173,201.626,1.196,8.936,5944.0,3380.0,1.0
mu_w_3[1],114.795,88.128,26.375,244.402,1.55,11.099,5757.0,3369.0,1.0
mu_w_3[2],59.684,37.58,17.213,116.112,0.652,5.03,6510.0,3140.0,1.0
mu_w_3[3],48.147,29.386,14.79,93.571,0.503,3.706,6585.0,3075.0,1.0
mu_w_3[4],56.224,35.041,16.227,107.471,0.609,4.671,6540.0,3186.0,1.0
mu_w_3[5],93.292,66.016,24.254,192.888,1.137,8.088,6009.0,3504.0,1.0
mu_w_3[6],104.141,76.918,23.342,216.752,1.352,10.116,5742.0,3326.0,1.0
mu_w_3[7],101.474,74.81,24.492,211.548,1.319,9.963,5890.0,3270.0,1.0
mu_w_3[8],58.734,37.147,16.228,112.584,0.649,5.162,6540.0,3079.0,1.0
mu_w_3[9],35.725,21.624,11.211,70.313,0.368,2.308,6250.0,3018.0,1.0
I_4[0],1.533,0.533,0.607,2.512,0.01,0.009,2815.0,3104.0,1.0
I_4[1],1.575,0.538,0.658,2.577,0.01,0.009,2783.0,3259.0,1.0
I_4[2],1.501,0.518,0.617,2.485,0.01,0.009,2793.0,3310.0,1.0
I_4[3],1.327,0.474,0.502,2.214,0.009,0.008,2825.0,3337.0,1.0
I_4[4],1.081,0.415,0.357,1.858,0.008,0.007,2890.0,3218.0,1.0
I_4[5],0.802,0.353,0.23,1.519,0.006,0.006,3011.0,3210.0,1.0
I_4[6],0.534,0.304,-0.006,1.131,0.005,0.005,3186.0,2992.0,1.0
I_4[7],0.313,0.275,-0.192,0.86,0.005,0.005,3341.0,2897.0,1.0
