,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_0_hsgp_coeffs[41],0.008,0.882,-1.624,1.674,0.016,0.024,3161.0,1352.0,1.0
I_0_hsgp_coeffs[42],0.557,0.862,-1.085,2.209,0.012,0.02,4439.0,1553.0,1.0
I_0_hsgp_coeffs[43],0.402,0.844,-1.193,1.956,0.014,0.021,3781.0,1335.0,1.0
I_0_hsgp_coeffs[44],-0.083,0.818,-1.686,1.453,0.013,0.02,4050.0,1405.0,1.0
I_0_hsgp_coeffs[45],-0.56,0.839,-2.084,0.983,0.013,0.018,4403.0,1438.0,1.0
I_0_hsgp_coeffs[46],-0.695,0.833,-2.141,0.942,0.014,0.019,3572.0,1471.0,1.0
I_0_hsgp_coeffs[47],0.248,0.852,-1.305,1.929,0.018,0.019,2348.0,1421.0,1.0
I_0_hsgp_coeffs[48],1.359,0.69,0.104,2.564,0.013,0.014,2649.0,1726.0,1.0
I_0_hsgp_coeffs[49],0.445,0.641,-0.767,1.635,0.013,0.014,2329.0,1442.0,1.0
I_1_hsgp_coeffs[0],0.041,0.917,-1.716,1.723,0.014,0.022,4305.0,1410.0,1.01
I_1_hsgp_coeffs[1],0.046,0.949,-1.737,1.875,0.015,0.028,4238.0,1212.0,1.0
I_1_hsgp_coeffs[2],0.015,0.957,-1.765,1.818,0.016,0.025,3583.0,1662.0,1.0
I_1_hsgp_coeffs[3],-0.152,0.837,-1.661,1.457,0.014,0.024,3554.0,1388.0,1.0
I_1_hsgp_coeffs[4],-0.055,0.926,-1.73,1.669,0.015,0.027,4035.0,1130.0,1.01
I_1_hsgp_coeffs[5],0.294,0.823,-1.283,1.754,0.013,0.02,4134.0,1360.0,1.0
I_1_hsgp_coeffs[6],0.085,0.891,-1.49,1.852,0.015,0.022,3617.0,1415.0,1.0
I_1_hsgp_coeffs[7],-0.478,0.855,-1.942,1.218,0.012,0.021,4711.0,1432.0,1.0
I_1_hsgp_coeffs[8],-0.017,0.851,-1.537,1.701,0.015,0.022,3129.0,1262.0,1.0
I_1_hsgp_coeffs[9],0.624,0.863,-0.965,2.311,0.015,0.023,3257.0,1155.0,1.0
