Record_ID,Date,Time,Frequency,Pin,Diameter corr.
53,18.07.2024,14:49:14,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.4797,,0
2,0.5237,,0
3,0.5804,,0
4,0.7130,,0
5,0.3599,,0
6,0.2161,,0
7,0.1735,,0
8,0.1728,,0
9,0.1793,,0
10,0.3341,,0
11,0.9817,,0
12,2.1323,,0
13,2.5456,,0
14,2.0233,,0
15,1.4089,,0
16,0.8063,,0
17,0.4191,,0
18,0.2136,,0
19,0.2576,,0
20,0.3231,,0
21,0.2903,,0
22,0.2357,,0
23,0.2016,,0
24,0.4249,,0
25,0.5166,,0
26,0.4516,,0
27,0.2279,,0
28,0.2222,,0
29,0.3961,,0
30,0.4855,,0
31,1.1618,,0
32,1.6306,,0
33,1.4481,,0
34,1.2013,,0
35,0.8014,,0
36,1.4344,,0
37,2.6314,,0
38,3.2620,,0
39,3.0485,,0
40,2.1673,,0
41,2.0230,,0
42,2.8471,,0
43,2.3942,,0
44,0.5512,,0
45,0.0757,,0
46,0.0197,,0
47,0.0000,,0
48,0.0000,,0
49,0.0781,,0
50,0.1583,,0
51,0.2136,,0
52,0.1822,,0
53,0.1139,,0
54,0.0000,,0
55,0.0000,,0
56,0.0000,,0
57,0.0000,,0
58,0.0451,,0
59,0.0662,,0
60,0.0000,,0
61,0.0000,,0
62,0.2689,,0
63,0.4124,,0
64,0.4161,,0
65,0.3933,,0
66,0.3893,,0
67,0.4067,,0

,Min,Max,Avg
Kappa[10-3SI],0,3.26198,0.718481,
Sigma[Ohm.m],0,7.39227e+31,nan,
