Record_ID,Date,Time,Frequency,Pin,Diameter corr.
10,15.07.2024,10:05:27,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0006,,0
2,0.0018,,0
3,0.0163,,0
4,0.0625,,0
5,0.0662,,0
6,0.0849,,0
7,0.1253,,0
8,0.1820,,0
9,0.1429,,0
10,0.1888,,0
11,0.1791,,0
12,0.1717,,0
13,0.1461,,0
14,0.1291,,0
15,0.1784,,0
16,0.2598,,0
17,0.2476,,0
18,0.1427,,0
19,0.0730,,0
20,0.0497,,0
21,0.0502,,0
22,0.0588,,0
23,0.0554,,0
24,0.0570,,0
25,0.0547,,0
26,0.0429,,0
27,0.0491,,0
28,0.0446,,0
29,0.0494,,0
30,0.0480,,0
31,0.0231,,0
32,0.0187,,0
33,0.0388,,0
34,0.0446,,0
35,0.0301,,0
36,0.0200,,0
37,0.0270,,0
38,0.0262,,0
39,0.0363,,0
40,0.0463,,0
41,0.0649,,0
42,0.0957,,0
43,0.1987,,0
44,0.2803,,0
45,0.3196,,0
46,0.2108,,0
47,0.1399,,0
48,0.1456,,0
49,0.1611,,0
50,0.1606,,0
51,0.2127,,0
52,0.2298,,0
53,0.1709,,0
54,0.1247,,0
55,0.0399,,0
56,0.0204,,0
57,0.0043,,0
58,0.0023,,0
59,0.0000,,0
60,0.0000,,0
61,0.0000,,0
62,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.319603,0.0943868,
Sigma[S/m],0,7.39227e+31,nan,
