Record_ID,Date,Time,Frequency,Pin,Diameter corr.
16,15.07.2024,14:51:44,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0023,,0
2,0.0411,,0
3,0.1073,,0
4,0.1671,,0
5,0.1701,,0
6,0.2057,,0
7,0.3170,,0
8,0.3931,,0
9,0.3598,,0
10,0.2343,,0
11,0.1197,,0
12,0.0724,,0
13,0.0549,,0
14,0.0514,,0
15,0.0485,,0
16,0.0596,,0
17,0.0958,,0
18,0.1009,,0
19,0.0791,,0
20,0.0467,,0
21,0.0432,,0
22,0.0624,,0
23,0.0792,,0
24,0.0429,,0
25,0.0131,,0
26,0.0000,,0
27,0.0000,,0
28,0.0153,,0
29,0.0487,,0
30,0.0341,,0
31,0.0000,,0
32,0.0000,,0
33,0.0000,,0
34,0.0000,,0
35,0.0000,,0
36,0.0000,,0
37,0.0000,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0272,,0
44,0.0644,,0
45,0.0949,,0
46,0.0427,,0
47,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.39309,0.0701055,
Sigma[S/m],0,7.39227e+31,nan,
