Record_ID,Date,Time,Frequency,Pin,Diameter corr.
14,15.07.2024,14:50:58,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0987,,0
2,0.1573,,0
3,0.1368,,0
4,0.1260,,0
5,0.1462,,0
6,0.1586,,0
7,0.1634,,0
8,0.1979,,0
9,0.1784,,0
10,0.1760,,0
11,0.1602,,0
12,0.1490,,0
13,0.1540,,0
14,0.1690,,0
15,0.1564,,0
16,0.2490,,0
17,0.3599,,0
18,0.2689,,0
19,0.1826,,0
20,0.1659,,0
21,0.2336,,0
22,0.2442,,0
23,0.1542,,0
24,0.0390,,0
25,0.0000,,0
26,0.0000,,0
27,0.0000,,0
28,0.0724,,0
29,0.1847,,0
30,0.1560,,0
31,0.0482,,0
32,0.0000,,0
33,0.0000,,0
34,0.0000,,0
35,0.0000,,0
36,0.0000,,0
37,0.0000,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0000,,0
45,0.0000,,0
46,0.0000,,0
47,0.0000,,0
48,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.359887,0.0976341,
Sigma[S/m],0,7.39227e+31,nan,
