Record_ID,Date,Time,Frequency,Pin,Diameter corr.
50,18.07.2024,10:11:14,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0540,,0
2,0.1552,,0
3,0.1713,,0
4,0.1967,,0
5,0.1990,,0
6,0.2140,,0
7,0.1945,,0
8,0.1357,,0
9,0.1866,,0
10,0.1838,,0
11,0.1340,,0
12,0.1623,,0
13,0.1671,,0
14,0.1782,,0
15,0.1675,,0
16,0.3228,,0
17,0.5032,,0
18,0.5664,,0
19,0.3774,,0
20,0.2094,,0
21,0.2297,,0
22,0.3407,,0
23,0.4357,,0
24,0.4949,,0
25,0.6023,,0
26,0.5492,,0
27,0.4424,,0
28,0.3010,,0
29,0.3610,,0
30,0.3794,,0
31,0.2594,,0
32,0.1760,,0
33,0.1265,,0
34,0.0821,,0
35,0.0617,,0
36,0.0730,,0
37,0.0764,,0
38,0.0479,,0
39,0.0862,,0
40,0.1172,,0
41,0.2306,,0
42,0.2726,,0
43,0.3043,,0
44,0.0346,,0
45,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.602305,0.234759,
Sigma[Ohm.m],0,7.39227e+31,nan,
