Record_ID,Date,Time,Frequency,Pin,Diameter corr.
60,22.07.2024,09:10:32,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.1531,,0
2,0.3253,,0
3,0.3063,,0
4,0.2100,,0
5,0.0930,,0
6,0.0417,,0
7,0.0087,,0
8,0.0126,,0
9,0.0302,,0
10,0.0529,,0
11,0.0702,,0
12,0.0889,,0
13,0.1465,,0
14,0.1884,,0
15,0.2122,,0
16,0.2186,,0
17,0.2279,,0
18,0.2458,,0
19,0.2047,,0
20,0.1314,,0
21,0.1100,,0
22,0.1497,,0
23,0.1590,,0
24,0.1189,,0
25,0.1069,,0
26,0.0883,,0
27,0.0708,,0
28,0.0873,,0
29,0.1004,,0
30,0.0931,,0
31,0.0512,,0
32,0.0000,,0
33,0.0126,,0
34,0.0319,,0
35,0.0312,,0
36,0.0006,,0
37,0.0000,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0000,,0
45,0.0000,,0
46,0.0000,,0
47,0.0000,,0
48,0.0000,,0
49,0.0000,,0
50,0.0000,,0
51,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.325332,0.0819709,
Sigma[Ohm.m],0,7.39227e+31,nan,
