Record_ID,Date,Time,Frequency,Pin,Diameter corr.
37,16.07.2024,14:04:55,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0275,,0
2,0.0425,,0
3,0.0576,,0
4,0.0972,,0
5,0.1425,,0
6,0.1514,,0
7,0.1629,,0
8,0.1282,,0
9,0.0838,,0
10,0.0499,,0
11,0.0303,,0
12,0.0139,,0
13,0.0466,,0
14,0.1037,,0
15,0.0611,,0
16,0.0102,,0
17,0.0224,,0
18,0.0313,,0
19,0.0192,,0
20,0.0152,,0
21,0.0148,,0
22,0.0037,,0
23,0.0000,,0
24,0.0000,,0
25,0.0071,,0
26,0.0052,,0
27,0.0253,,0
28,0.0763,,0
29,0.1474,,0
30,0.1458,,0
31,0.1155,,0
32,0.0900,,0
33,0.0284,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.162901,0.0593059,
Sigma[Ohm.m],0,7.39227e+31,nan,
