Record_ID,Date,Time,Frequency,Pin,Diameter corr.
21,16.07.2024,10:00:43,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0688,,0
2,0.0662,,0
3,0.0769,,0
4,0.0800,,0
5,0.0884,,0
6,0.1127,,0
7,0.0934,,0
8,0.0760,,0
9,0.0664,,0
10,0.0690,,0
11,0.0781,,0
12,0.1225,,0
13,0.1532,,0
14,0.1035,,0
15,0.0910,,0
16,0.0761,,0
17,0.1205,,0
18,0.1592,,0
19,0.1586,,0
20,0.1179,,0
21,0.0519,,0
22,0.0354,,0
23,0.0617,,0
24,0.1065,,0
25,0.1593,,0
26,0.2745,,0
27,0.6124,,0
28,0.5969,,0
29,0.3088,,0
30,0.2011,,0
31,0.1802,,0
32,0.1224,,0
33,0.0287,,0
34,0.0314,,0
35,0.0762,,0
36,0.0410,,0
37,0.0100,,0
38,0.0046,,0
39,0.0085,,0
40,0.0000,,0
41,0.0000,,0
42,0.0168,,0
43,0.0000,,0
44,0.0000,,0
45,0.0000,,0
46,0.0000,,0
47,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.612413,0.104399,
Sigma[Ohm.m],0,7.39227e+31,nan,
