Record_ID,Date,Time,Frequency,Pin,Diameter corr.
47,18.07.2024,10:08:45,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0000,,0
2,0.0040,,0
3,0.0358,,0
4,0.0815,,0
5,0.1058,,0
6,0.1507,,0
7,0.1119,,0
8,0.1020,,0
9,0.1145,,0
10,0.1343,,0
11,0.1407,,0
12,0.1075,,0
13,0.0734,,0
14,0.0746,,0
15,0.0805,,0
16,0.0911,,0
17,0.0821,,0
18,0.0968,,0
19,0.1054,,0
20,0.1344,,0
21,0.1835,,0
22,0.1160,,0
23,0.0744,,0
24,0.0621,,0
25,0.0672,,0
26,0.0698,,0
27,0.1224,,0
28,0.2299,,0
29,0.2139,,0
30,0.1856,,0
31,0.1558,,0
32,0.0643,,0
33,0.0063,,0
34,0.0055,,0
35,0.0279,,0
36,0.0368,,0
37,0.0363,,0
38,0.0392,,0
39,0.0241,,0
40,0.0277,,0
41,0.0058,,0
42,0.0289,,0
43,0.0746,,0
44,0.0995,,0
45,0.0650,,0
46,0.0661,,0
47,0.0634,,0
48,0.0611,,0
49,0.0572,,0
50,0.0128,,0
51,0.0000,,0
52,0.0000,,0
53,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.229882,0.0775419,
Sigma[Ohm.m],0,7.39227e+31,nan,
