Record_ID,Date,Time,Frequency,Pin,Diameter corr.
13,15.07.2024,14:49:57,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0000,,0
2,0.0000,,0
3,0.0042,,0
4,0.0424,,0
5,0.0798,,0
6,0.1106,,0
7,0.1568,,0
8,0.1493,,0
9,0.1189,,0
10,0.0948,,0
11,0.0833,,0
12,0.0939,,0
13,0.1493,,0
14,0.1746,,0
15,0.2186,,0
16,0.2458,,0
17,0.3889,,0
18,0.5152,,0
19,0.4063,,0
20,0.1795,,0
21,0.1586,,0
22,0.2917,,0
23,0.2557,,0
24,0.1023,,0
25,0.0111,,0
26,0.0176,,0
27,0.0229,,0
28,0.0529,,0
29,0.1632,,0
30,0.1561,,0
31,0.0443,,0
32,0.0000,,0
33,0.0014,,0
34,0.0015,,0
35,0.0000,,0
36,0.0000,,0
37,0.0000,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0151,,0
45,0.0712,,0
46,0.0685,,0
47,0.0000,,0
48,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.515221,0.0967976,
Sigma[S/m],0,7.39227e+31,nan,
