Record_ID,Date,Time,Frequency,Pin,Diameter corr.
64,22.07.2024,09:12:58,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.1282,,0
2,0.2555,,0
3,0.3628,,0
4,0.2229,,0
5,0.0894,,0
6,0.0475,,0
7,0.0309,,0
8,0.0804,,0
9,0.1490,,0
10,0.1466,,0
11,0.1695,,0
12,0.3376,,0
13,0.4744,,0
14,0.3989,,0
15,0.3362,,0
16,0.3418,,0
17,0.2562,,0
18,0.2203,,0
19,0.2864,,0
20,0.5923,,0
21,0.6791,,0
22,0.7786,,0
23,0.4958,,0
24,0.5547,,0
25,0.6359,,0
26,0.3603,,0
27,0.1545,,0
28,0.0934,,0
29,0.0885,,0
30,0.1641,,0
31,0.1583,,0
32,0.2063,,0
33,0.1710,,0
34,0.0937,,0
35,0.0967,,0
36,0.0841,,0
37,0.0527,,0
38,0.0144,,0
39,0.0120,,0
40,0.0311,,0
41,0.0700,,0
42,0.0588,,0
43,0.0292,,0
44,0.0174,,0
45,0.0091,,0
46,0.0442,,0
47,0.0391,,0
48,0.0252,,0

,Min,Max,Avg
Kappa[10-3SI],0.00910947,0.778618,0.211354,
Sigma[Ohm.m],0,7.39227e+31,nan,
