Record_ID,Date,Time,Frequency,Pin,Diameter corr.
19,16.07.2024,09:58:45,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0075,,0
2,0.0401,,0
3,0.0691,,0
4,0.1189,,0
5,0.1188,,0
6,0.0938,,0
7,0.1409,,0
8,0.1989,,0
9,0.1937,,0
10,0.2038,,0
11,0.1892,,0
12,0.2106,,0
13,0.2466,,0
14,0.1500,,0
15,0.1145,,0
16,0.1498,,0
17,0.2634,,0
18,0.3586,,0
19,0.3358,,0
20,0.2421,,0
21,0.1634,,0
22,0.1497,,0
23,0.1712,,0
24,0.1431,,0
25,0.2023,,0
26,0.3434,,0
27,0.9272,,0
28,0.9581,,0
29,0.6301,,0
30,0.5670,,0
31,0.5774,,0
32,0.3133,,0
33,0.2116,,0
34,0.2303,,0
35,0.2001,,0
36,0.1136,,0
37,0.0615,,0
38,0.0391,,0
39,0.0520,,0
40,0.0038,,0
41,0.0023,,0
42,0.0000,,0
43,0.0000,,0
44,0.0000,,0
45,0.0000,,0
46,0.0000,,0
47,0.0000,,0
48,0.0000,,0
49,0.0000,,0
50,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.958121,0.19013,
Sigma[Ohm.m],0,7.39227e+31,nan,
