Record_ID,Date,Time,Frequency,Pin,Diameter corr.
17,15.07.2024,14:52:7,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0015,,0
2,0.0224,,0
3,0.0817,,0
4,0.1226,,0
5,0.2220,,0
6,0.2353,,0
7,0.3192,,0
8,0.4094,,0
9,0.3169,,0
10,0.1578,,0
11,0.1349,,0
12,0.1433,,0
13,0.1577,,0
14,0.1421,,0
15,0.1194,,0
16,0.1074,,0
17,0.1184,,0
18,0.1759,,0
19,0.1785,,0
20,0.0985,,0
21,0.0755,,0
22,0.1265,,0
23,0.1248,,0
24,0.0723,,0
25,0.0265,,0
26,0.0245,,0
27,0.0474,,0
28,0.1399,,0
29,0.0974,,0
30,0.0464,,0
31,0.0108,,0
32,0.0000,,0
33,0.0054,,0
34,0.0020,,0
35,0.0000,,0
36,0.0000,,0
37,0.0000,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0265,,0
45,0.0684,,0
46,0.0768,,0
47,0.0532,,0
48,0.0218,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.409377,0.0898137,
Sigma[S/m],0,7.39227e+31,nan,
