Record_ID,Date,Time,Frequency,Pin,Diameter corr.
11,15.07.2024,10:05:58,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0193,,0
2,0.0247,,0
3,0.0166,,0
4,0.0271,,0
5,0.0476,,0
6,0.0731,,0
7,0.0915,,0
8,0.1080,,0
9,0.0932,,0
10,0.0653,,0
11,0.0720,,0
12,0.0998,,0
13,0.1363,,0
14,0.1666,,0
15,0.1790,,0
16,0.2705,,0
17,0.2741,,0
18,0.1756,,0
19,0.1055,,0
20,0.0885,,0
21,0.0559,,0
22,0.0422,,0
23,0.0453,,0
24,0.0528,,0
25,0.0595,,0
26,0.0346,,0
27,0.0336,,0
28,0.0402,,0
29,0.0381,,0
30,0.0311,,0
31,0.0337,,0
32,0.0324,,0
33,0.0374,,0
34,0.0321,,0
35,0.0372,,0
36,0.0421,,0
37,0.0461,,0
38,0.0289,,0
39,0.0258,,0
40,0.0397,,0
41,0.0460,,0
42,0.0365,,0
43,0.0306,,0
44,0.0453,,0
45,0.0872,,0
46,0.1677,,0
47,0.2426,,0
48,0.1656,,0
49,0.1007,,0
50,0.1054,,0
51,0.1267,,0
52,0.1478,,0
53,0.1328,,0
54,0.1556,,0
55,0.1801,,0
56,0.1789,,0
57,0.1360,,0
58,0.0561,,0
59,0.0125,,0
60,0.0007,,0
61,0.0000,,0
62,0.0000,,0
63,0.0000,,0
64,0.0000,,0
65,0.0000,,0
66,0.0000,,0
67,0.0000,,0
68,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.274087,0.0746763,
Sigma[S/m],0,7.39227e+31,nan,
