Record_ID,Date,Time,Frequency,Pin,Diameter corr.
62,22.07.2024,09:11:26,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.2605,,0
2,0.3444,,0
3,0.2114,,0
4,0.0919,,0
5,0.0297,,0
6,0.0000,,0
7,0.0000,,0
8,0.0237,,0
9,0.0710,,0
10,0.1067,,0
11,0.1734,,0
12,0.4706,,0
13,0.6412,,0
14,0.5076,,0
15,0.3416,,0
16,0.3335,,0
17,0.2149,,0
18,0.1608,,0
19,0.1205,,0
20,0.1487,,0
21,0.2463,,0
22,0.3207,,0
23,0.3755,,0
24,0.2867,,0
25,0.2563,,0
26,0.2738,,0
27,0.0837,,0
28,0.0000,,0
29,0.0000,,0
30,0.0000,,0
31,0.0057,,0
32,0.0000,,0
33,0.0000,,0
34,0.0000,,0
35,0.0000,,0
36,0.0000,,0
37,0.0000,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0000,,0
45,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.641203,0.135572,
Sigma[Ohm.m],0,7.39227e+31,nan,
