Record_ID,Date,Time,Frequency,Pin,Diameter corr.
49,18.07.2024,10:10:49,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.1314,,0
2,0.1338,,0
3,0.1483,,0
4,0.1650,,0
5,0.1419,,0
6,0.1465,,0
7,0.1796,,0
8,0.1478,,0
9,0.1457,,0
10,0.1703,,0
11,0.2189,,0
12,0.2006,,0
13,0.1882,,0
14,0.2106,,0
15,0.2818,,0
16,0.7158,,0
17,0.3642,,0
18,0.1039,,0
19,0.1638,,0
20,0.3192,,0
21,0.4921,,0
22,0.4278,,0
23,0.3017,,0
24,0.3565,,0
25,0.4286,,0
26,0.3870,,0
27,0.2920,,0
28,0.2090,,0
29,0.1323,,0
30,0.0774,,0
31,0.0530,,0
32,0.0594,,0
33,0.1371,,0
34,0.3634,,0
35,0.4502,,0
36,0.3232,,0
37,0.2048,,0
38,0.1101,,0
39,0.1767,,0
40,0.2300,,0
41,0.1451,,0
42,0.0458,,0
43,0.0000,,0
44,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.715752,0.220016,
Sigma[Ohm.m],0,7.39227e+31,nan,
