Record_ID,Date,Time,Frequency,Pin,Diameter corr.
59,19.07.2024,14:12:44,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0654,,0
2,0.0966,,0
3,0.1282,,0
4,0.0856,,0
5,0.1119,,0
6,0.1975,,0
7,0.1999,,0
8,0.1389,,0
9,0.1793,,0
10,0.2335,,0
11,0.1569,,0
12,0.0710,,0
13,0.1860,,0
14,0.3450,,0
15,0.2412,,0
16,0.1995,,0
17,0.2580,,0
18,0.3462,,0
19,0.3684,,0
20,0.2460,,0
21,0.3874,,0
22,0.5718,,0
23,0.4762,,0
24,0.3691,,0
25,0.2629,,0
26,0.3891,,0
27,0.6574,,0
28,0.4949,,0
29,0.4400,,0
30,0.3987,,0
31,0.5266,,0
32,0.8832,,0
33,1.3966,,0
34,0.5960,,0
35,0.5724,,0
36,0.6982,,0
37,0.6680,,0
38,0.3197,,0
39,0.3048,,0
40,0.4619,,0
41,0.5152,,0
42,0.4096,,0
43,0.4187,,0
44,0.2825,,0
45,0.2535,,0

,Min,Max,Avg
Kappa[10-3SI],0.0654367,1.39657,0.369094,
Sigma[Ohm.m],0,7.39227e+31,nan,
