Record_ID,Date,Time,Frequency,Pin,Diameter corr.
12,15.07.2024,14:49:30,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0000,,0
2,0.0000,,0
3,0.0000,,0
4,0.0127,,0
5,0.0327,,0
6,0.0753,,0
7,0.1060,,0
8,0.2551,,0
9,0.2348,,0
10,0.1887,,0
11,0.1800,,0
12,0.1712,,0
13,0.1395,,0
14,0.0911,,0
15,0.0607,,0
16,0.0932,,0
17,0.2708,,0
18,0.5385,,0
19,0.3169,,0
20,0.1159,,0
21,0.0662,,0
22,0.1221,,0
23,0.1518,,0
24,0.0772,,0
25,0.0198,,0
26,0.0000,,0
27,0.0000,,0
28,0.0290,,0
29,0.1177,,0
30,0.0983,,0
31,0.0895,,0
32,0.0274,,0
33,0.0062,,0
34,0.0178,,0
35,0.0000,,0
36,0.0000,,0
37,0.0000,,0
38,0.0000,,0
39,0.0000,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0000,,0
45,0.0000,,0
46,0.0316,,0
47,0.0463,,0
48,0.0000,,0
49,0.0000,,0
50,0.0000,,0
51,0.0000,,0
52,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.538458,0.0727629,
Sigma[S/m],0,7.39227e+31,nan,
