Record_ID,Date,Time,Frequency,Pin,Diameter corr.
20,16.07.2024,10:00:3,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0173,,0
2,0.0873,,0
3,0.1509,,0
4,0.1223,,0
5,0.1011,,0
6,0.0791,,0
7,0.0857,,0
8,0.0903,,0
9,0.0939,,0
10,0.0774,,0
11,0.0558,,0
12,0.0603,,0
13,0.0628,,0
14,0.0664,,0
15,0.0725,,0
16,0.0864,,0
17,0.1051,,0
18,0.2006,,0
19,0.2989,,0
20,0.2743,,0
21,0.1988,,0
22,0.0970,,0
23,0.1143,,0
24,0.1696,,0
25,0.2363,,0
26,0.4793,,0
27,0.5005,,0
28,0.8186,,0
29,0.8390,,0
30,0.4241,,0
31,0.2577,,0
32,0.1792,,0
33,0.0812,,0
34,0.0465,,0
35,0.0242,,0
36,0.0090,,0
37,0.0014,,0
38,0.0000,,0
39,0.0071,,0
40,0.0148,,0
41,0.0061,,0
42,0.0131,,0
43,0.0283,,0
44,0.0313,,0
45,0.0128,,0
46,0.0000,,0
47,0.0000,,0
48,0.0000,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.83896,0.141221,
Sigma[Ohm.m],0,7.39227e+31,nan,
